point,captured_at,shoulder_pan.pos,shoulder_lift.pos,elbow_flex.pos,wrist_flex.pos,wrist_roll.pos,gripper.pos
initial,2026-08-09T07:44:08,-2.3736263736263736,-48.13186813186813,-3.7362637362637363,-16.175824175824175,78.9010989010989,3.413654618473896
key_point_1,2026-08-09T07:44:11,-18.197802197802197,-5.142857142857143,24.835164835164836,-138.72527472527472,78.9010989010989,78.714859437751
key_point_2,2026-08-09T07:44:44,2.7252747252747254,-3.208791208791209,24.835164835164836,-139.25274725274724,78.9010989010989,78.6479250334672
key_point_3,2026-08-09T07:45:31,23.560439560439562,-3.3846153846153846,23.86813186813187,-139.34065934065933,78.81318681318682,78.6479250334672
key_point_4,2026-08-09T07:46:57,-22.24175824175824,24.65934065934066,14.373626373626374,-141.53846153846155,78.9010989010989,69.14323962516734
key_point_5,2026-08-09T07:47:48,-1.934065934065934,12.43956043956044,31.78021978021978,-142.15384615384616,78.81318681318682,68.20615796519411
key_point_6,2026-08-09T07:48:48,23.208791208791208,31.252747252747252,6.1098901098901095,-142.06593406593407,78.9010989010989,68.20615796519411
